Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
13500	21.1	393	34.2	21.1
13500	21.1	393	34.2	21.1
13500	21.1	393	34.2	21.1
13500	21.1	393	34.2	21.1
13500	21.1	393	34.2	21.1
13500	21.1	393	34.3	21.1
13500	21.1	392	34.3	21.1
13500	21.1	392	34.3	21.1
13500	21.1	392	34.3	21.1
13500	21.1	392	34.3	21.1
13400	21.1	391	34.3	21.1
13400	21.1	391	34.3	21.1
13400	21.1	391	34.3	21.1
13400	21.1	391	34.3	21.1
13400	21.1	391	34.3	21.1
13400	21.1	391	34.3	21.1
13400	21.1	390	34.3	21.2
13400	21.2	390	34.3	21.2
13400	21.2	390	34.3	21.2
13400	21.2	390	34.4	21.2
13400	21.2	390	34.4	21.2
13400	21.2	389	34.4	21.2
13400	21.2	389	34.4	21.2
13400	21.2	389	34.4	21.2
13300	21.2	389	34.4	21.2
13300	21.2	389	34.4	21.2
13300	21.2	388	34.4	21.2
13300	21.2	388	34.4	21.2
13300	21.2	388	34.4	21.2
13300	21.2	388	34.4	21.2
13300	21.2	387	34.4	21.2
13300	21.2	387	34.4	21.2
13300	21.2	387	34.4	21.2
13300	21.2	387	34.5	21.2
13300	21.2	387	34.5	21.2
13300	21.2	386	34.5	21.2
13300	21.2	386	34.5	21.2
13300	21.2	386	34.5	21.2
13200	21.2	386	34.5	21.3
13200	21.3	385	34.5	21.3
13200	21.3	385	34.5	21.3
13200	21.3	385	34.5	21.3
13200	21.3	385	34.5	21.3
13200	21.3	385	34.5	21.3
13200	21.3	384	34.5	21.3
13200	21.3	384	34.5	21.3
13200	21.3	384	34.5	21.3
13200	21.3	384	34.6	21.3
13200	21.3	383	34.6	21.3
13200	21.3	383	34.6	21.3
13200	21.3	383	34.6	21.3
13100	21.3	383	34.6	21.3
13100	21.3	382	34.6	21.3
13100	21.3	382	34.6	21.3
13100	21.3	382	34.6	21.3
13100	21.3	382	34.6	21.3
13100	21.3	382	34.6	21.3
13100	21.3	381	34.6	21.3
13100	21.3	381	34.6	21.3
13100	21.3	381	34.6	21.3
13100	21.3	381	34.6	21.3
13100	21.3	380	34.7	21.4
13000	21.4	380	34.7	21.4
13000	21.4	380	34.7	21.4
13000	21.4	380	34.7	21.4
13000	21.4	379	34.7	21.4
13000	21.4	379	34.7	21.4
13000	21.4	379	34.7	21.4
13000	21.4	378	34.7	21.4
13000	21.4	378	34.7	21.4
13000	21.4	378	34.7	21.4
13000	21.4	378	34.7	21.4
13000	21.4	377	34.7	21.4
13000	21.4	377	34.7	21.4
12900	21.4	377	34.8	21.4
12900	21.4	377	34.8	21.4
12900	21.4	376	34.8	21.4
12900	21.4	376	34.8	21.4
12900	21.4	376	34.8	21.4
12900	21.4	376	34.8	21.4
12900	21.4	375	34.8	21.4
12900	21.4	375	34.8	21.4
12900	21.4	375	34.8	21.4
12900	21.4	374	34.8	21.5
12800	21.5	374	34.8	21.5
12800	21.5	374	34.8	21.5
12800	21.5	373	34.8	21.5
12800	21.5	373	34.8	21.5
12800	21.5	373	34.8	21.5
12800	21.5	373	34.9	21.5
12800	21.5	372	34.9	21.5
12800	21.5	372	34.9	21.5
12800	21.5	372	34.9	21.5
12800	21.5	371	34.9	21.5
12700	21.5	371	34.9	21.5
12700	21.5	371	34.9	21.5
12700	21.5	370	34.9	21.5
12700	21.5	370	34.9	21.5
12700	21.5	370	34.9	21.5
12700	21.5	370	34.9	21.5
12700	21.5	369	34.9	21.5
12700	21.5	369	34.9	21.5
12700	21.5	369	35.0	21.5
12600	21.5	368	35.0	21.5
12600	21.5	368	35.0	21.5
12600	21.5	368	35.0	21.5
12600	21.5	367	35.0	21.6
12600	21.6	367	35.0	21.6
12600	21.6	367	35.0	21.6
12600	21.6	366	35.0	21.6
12600	21.6	366	35.0	21.6
12600	21.6	366	35.0	21.6
12500	21.6	365	35.0	21.6
12500	21.6	365	35.0	21.6
12500	21.6	364	35.0	21.6
12500	21.6	364	35.0	21.6
12500	21.6	364	35.1	21.6
12500	21.6	363	35.1	21.6
12500	21.6	363	35.1	21.6
12500	21.6	363	35.1	21.6
12400	21.6	362	35.1	21.6
12400	21.6	362	35.1	21.6
12400	21.6	362	35.1	21.6
12400	21.6	361	35.1	21.6
12400	21.6	361	35.1	21.6
12400	21.6	360	35.1	21.6
12400	21.6	360	35.1	21.6
12400	21.6	360	35.1	21.6
12300	21.6	359	35.1	21.6
12300	21.6	359	35.1	21.7
12300	21.7	358	35.2	21.7
12300	21.7	358	35.2	21.7
12300	21.7	358	35.2	21.7
12300	21.7	357	35.2	21.7
12300	21.7	357	35.2	21.7
12200	21.7	356	35.2	21.7
12200	21.7	356	35.2	21.7
12200	21.7	356	35.2	21.7
12200	21.7	355	35.2	21.7
12200	21.7	355	35.2	21.7
12200	21.7	354	35.2	21.7
12200	21.7	354	35.2	21.7
12100	21.7	353	35.2	21.7
12100	21.7	353	35.2	21.7
12100	21.7	353	35.3	21.7
12100	21.7	352	35.3	21.7
12100	21.7	352	35.3	21.7
12100	21.7	351	35.3	21.7
12000	21.7	351	35.3	21.7
12000	21.7	350	35.3	21.7
12000	21.7	350	35.3	21.7
12000	21.7	349	35.3	21.8
12000	21.8	349	35.3	21.8
12000	21.8	348	35.3	21.8
11900	21.8	348	35.3	21.8
11900	21.8	347	35.3	21.8
11900	21.8	347	35.3	21.8
11900	21.8	347	35.3	21.8
11900	21.8	346	35.4	21.8
11900	21.8	345	35.4	21.8
11800	21.8	345	35.4	21.8
11800	21.8	344	35.4	21.8
11800	21.8	344	35.4	21.8
11800	21.8	343	35.4	21.8
11800	21.8	343	35.4	21.8
11800	21.8	342	35.4	21.8
11700	21.8	342	35.4	21.8
11700	21.8	341	35.4	21.8
11700	21.8	341	35.4	21.8
11700	21.8	340	35.4	21.8
11700	21.8	340	35.4	21.8
11600	21.8	339	35.4	21.8
11600	21.8	338	35.5	21.8
11600	21.8	338	35.5	21.8
11600	21.8	337	35.5	21.9
11600	21.9	337	35.5	21.9
11500	21.9	336	35.5	21.9
11500	21.9	335	35.5	21.9
11500	21.9	335	35.5	21.9
11500	21.9	334	35.5	21.9
11500	21.9	334	35.5	21.9
11400	21.9	333	35.5	21.9
11400	21.9	332	35.5	21.9
11400	21.9	332	35.5	21.9
11400	21.9	331	35.5	21.9
11300	21.9	330	35.5	21.9
11300	21.9	330	35.6	21.9
11300	21.9	329	35.6	21.9
11300	21.9	328	35.6	21.9
11200	21.9	328	35.6	21.9
11200	21.9	327	35.6	21.9
11200	21.9	326	35.6	21.9
11200	21.9	326	35.6	21.9
11200	21.9	325	35.6	21.9
11100	21.9	324	35.6	21.9
11100	21.9	323	35.6	21.9
11100	21.9	323	35.6	21.9
11000	21.9	322	35.6	22.0
11000	22.0	321	35.6	22.0
11000	22.0	320	35.6	22.0
11000	22.0	319	35.7	22.0
10900	22.0	319	35.7	22.0
10900	22.0	318	35.7	22.0
10900	22.0	317	35.7	22.0
10900	22.0	316	35.7	22.0
10800	22.0	315	35.7	22.0
10800	22.0	314	35.7	22.0
10800	22.0	313	35.7	22.0
10700	22.0	312	35.7	22.0
10700	22.0	312	35.7	22.0
10700	22.0	311	35.7	22.0
10600	22.0	310	35.7	22.0
10600	22.0	309	35.7	22.0
10600	22.0	308	35.7	22.0
10500	22.0	307	35.8	22.0
10500	22.0	306	35.8	22.0
10500	22.0	305	35.8	22.0
10400	22.0	304	35.8	22.0
10400	22.0	302	35.8	22.0
10300	22.0	301	35.8	22.1
10300	22.1	300	35.8	22.1
10300	22.1	299	35.8	22.1
10200	22.1	298	35.8	22.1
10200	22.1	296	35.8	22.1
10100	22.1	295	35.8	22.1
7430	22.1	216	35.8	22.1
-479	22.1	-14.0	35.8	22.1
-481	22.1	-14.0	35.8	22.1
-482	22.1	-14.0	35.9	22.1
-483	22.1	-14.1	35.9	22.1
-483	22.1	-14.1	35.9	22.1
-483	22.1	-14.1	35.9	22.1

